iter	Passed	Remaining
0	2	244
1	4	226
2	6	218
3	8	205
4	10	204
5	12	203
6	15	201
7	17	200
8	19	198
9	22	198
10	24	196
11	26	193
12	28	189
13	30	185
14	32	181
15	34	180
16	36	178
17	38	177
18	41	175
19	43	173
20	45	169
21	47	167
22	49	165
23	51	162
24	53	159
25	54	155
26	56	152
27	58	149
28	59	145
29	60	141
30	61	137
31	63	134
32	64	131
33	66	128
34	67	125
35	68	121
36	69	118
37	70	115
38	71	112
39	73	109
40	74	106
41	74	103
42	75	100
43	77	98
44	78	96
45	80	93
46	81	91
47	82	89
48	83	87
49	85	85
50	86	83
51	87	80
52	88	78
53	89	76
54	90	74
55	91	72
56	93	70
57	94	68
58	95	66
59	97	64
60	98	62
61	99	61
62	100	59
63	102	57
64	103	55
65	104	53
66	105	52
67	107	50
68	108	48
69	110	47
70	111	45
71	113	43
72	114	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	122	32
79	124	31
80	125	29
81	127	28
82	128	26
83	130	24
84	132	23
85	133	21
86	134	20
87	136	18
88	137	16
89	138	15
90	139	13
91	140	12
92	142	10
93	143	9
94	144	7
95	145	6
96	146	4
97	147	3
98	149	1
99	150	0
